Protein A (gene name)	Protein B (gene name)	PubMed ID	Source databases
1700006A11RIK	BMPR1B	15761153	(mentha)
1700021K19Rik	Becn1	19270693	MI:0974(innatedb)
1700021K19Rik	Cyba	22423966	MI:0974(innatedb)
1700021K19Rik	Cybb	22423966	MI:0974(innatedb)
A2NTY6	A2NTU7	17418792	(mentha)
A6NAR8	A6NAR8	23986251	(mentha)
ABCA1	SPTLC1	18484747	(mentha)
ABCB10	ABCB10	15215243	(mentha)
ABCB7	FECH	19691493	(mentha)
ABCB7	COX4I1	19691493	(mentha)
ABCD2	ABCD1	10551832	(mentha)
ABCD2	ABCD2	10551832	(mentha)
ABCD2	ABCD3	10551832	(mentha)
ABCD3	ABCD1	10551832	(mentha)
ABHD5	PLIN1	16679289|21393244|15136565	(mentha)
ABHD5	PLIN2	15136565	(mentha)
ABHD5	PNPLA2	16679289|21393244	(mentha)
ABI1	ABL1	11163214	(mentha)
ABI1	SOS1	11003655	(mentha)
ABI1	PIK3R1	12515821	(mentha)
ABI1	EPS8	9010225|12515821|19564905	(mentha)
ABI1	NCK2	11557983	(mentha)
ABI1	SOS2	11003655	(mentha)
ABI1	WASF2	18044991|20697350	(mentha)
ABL1	ABL1	11274764	(mentha)
ABL1	DOK2	12777393	(mentha)
ABL1	SNCA	24412932	(mentha)
ABR	RAC1	17116687	(mentha)
ABT1	TBP	10648625	(mentha)
ACACA	BRCA1	24565757	(mentha)
ACADVL	SOCS3	22093833	(mentha)
ACD	POT1B	17632522|22748632	(mentha)|(mentha)
ACHE	LAMA1	12524166	(mentha)
ACHE	LAMB1	15474030	(mentha)
ACO2	ITPR1	15652484	(mentha)
ACOT7	BRCA1	22034435	(mentha)
ACP1	CTNNB1	12438242	(mentha)
ACR	ZP2	11739644	(mentha)
ACSL6	PHYH	12767919	(mentha)
ACTA1	IPP	11536049	(mentha)
ACTA1	SNCA	19553474	(mentha)
ACTB	SEPT2	17024187	(mentha)
ACTB	PROM1	18654668	(mentha)
ACTB	PRKCE	15251432	(mentha)
ACTB	SULT2B1	20718863	(mentha)
ACTB	PKD1	17707375	(mentha)
ACTB	MT3	17018872	(mentha)
ACTB	CAV1	15293782	(mentha)
ACTB	PKNOX1	17623278	(mentha)
ACTC1	MYBPC3	22982234	(mentha)
ACTG1	ANK3	19109891	(mentha)
ACTG1	SULT2B1	20718863	(mentha)
ACTL6A	KAT5	24302573|20946988	(mentha)
ACTL6A	SMARCA4	23540691|19279220	(mentha)
ACTL6A	SMARCC1	24421395	(mentha)
ACTL6B	SMARCA4	12368262	(mentha)
ACTL6B	SMARCA2	12368262	(mentha)
ACTN1	SORBS2	20886612	(mentha)
ACTN1	CHRNA1	22956146	(mentha)
ACTN1	SULT2B1	20718863	(mentha)
ACTN2	AR	15072553	(mentha)
ACTN2	CAMK2A	16120608	(mentha)
ACTN2	GRIN2B	16635246|16710293|10862698	(mentha)
ACTN2	GRIP1	15072553	(mentha)
ACTN2	RAVER1	11724819	(mentha)
ACTN4	NOS2	12960352	(mentha)
ACTN4	SULT2B1	20718863	(mentha)
ACTN4	TJP1	16944923	(mentha)
ACTR1A	BCL2	16717086	(mentha)
ACTRT3	SCAPER	18692047	(mentha)
ACTRT3	VCP	18692047	(mentha)
ACVR1	SMAD6	20663871	(mentha)
ACVR1	SMAD7	20663871	(mentha)
ACVR1B	INHBA	7577669	(mentha)
ACVRL1	CDH5	18337748	(mentha)
ACY3	ACY3	17434493|23010594	(mentha)
ADAM12	GRB2	11127814	(mentha)
ADAM17	TIMP3	18295466	(mentha)
ADAM22	DLG4	19022416|19455133	(mentha)
ADAMTS1	DCHS1	16061471	(mentha)
ADCY3	CAV1	12122055	(mentha)
ADCY3	STOML3	12122055	(mentha)
ADCY8	CALM3	16258073	(mentha)
ADCY8	PPP2CA	16258073	(mentha)
ADD1	SIN3A	17074803	(mentha)
ADD1	SMARCA4	17074803	(mentha)
ADD1	SMARCC1	17074803	(mentha)
ADD2	FYN	16765915	(mentha)
ADIPOQ	ADIPOQ	22583869|19855092|17292892|19011089|21536037	(mentha)
ADIPOR1	APPL2	16622416	(mentha)
ADNP	CBX5	17222401	(mentha)
ADORA2A	DRD2	21806555	(mentha)
ADRB1	PRKACA	18188154	(mentha)
ADRBK1	GNB1	7972043	(mentha)
ADRBK1	GNG2	7972043	(mentha)
ADRBK1	MDM2	21081496	(mentha)
ADRBK1	NEDD4	17544362	(mentha)
ADRM1	UBC	18497817	(mentha)
ADSSL1	ADSSL1	11560929	(mentha)
AEBP2	EED	20064375|20064376	(mentha)
AEBP2	EZH2	20064376|20123894	(mentha)
AEBP2	JARID2	20064376|20064375	(mentha)
AEBP2	SUZ12	22438827	(mentha)
AES	AES	16002402	(mentha)
AES	MSX1	16002402	(mentha)
AES	POU2F1	16002402	(mentha)
AF251705	Fcer1g	12893283	"psi-mi:""MI:0463""(biogrid)"
AF251705	Hcst	12893283	"psi-mi:""MI:0463""(biogrid)"
AF251705	Tyrobp	12893283	"psi-mi:""MI:0463""(biogrid)"
AFF4	SIAH1A	15459319	(mentha)
AGAP2	DCC	18469807	(mentha)
AGAP2	INSR	21720388	(mentha)
AGAP2	PRLR	20075866	(mentha)
AGAP2	STAT5A	20075866	(mentha)
AGFG1	EPS15	9303539	(mentha)
AGO1	TRIM32	19269368	(mentha)
AGO2	TRIM71	19898466	(mentha)
AGO2	TNRC6C	19838187|22918229	(mentha)
AGO2	UBC	19898466|22508726	(mentha)
AGO2	TNRC6A	22918229|22385959	(mentha)
AGO2	TNRC6B	19838187|22918229	(mentha)
AGO2	RC3H1	25697406	(mentha)
AGTRAP	AGTR1A	10358057|15757644	(mentha)
AHI1	HAP1	21146532	(mentha)
AHR	HSP90AA1	9020169	(mentha)
AHR	HSP90AB1	8828811	(mentha)
AHRR	ARNT	19251700	(mentha)
AI464131	Igf2	19706595	"psi-mi:""MI:0463""(biogrid)"
AICDA	TDG	21722948	(mentha)
AICDA	RPA2	19196992	(mentha)
AICDA	GADD45A	21722948	(mentha)
AICDA	EXOSC3	21255825	(mentha)
AICDA	EXOSC5	21255825	(mentha)
AICDA	EXOSC6	21255825	(mentha)
AIDA	AXIN1	25117763	(mentha)
AIFM1	H2AFX	20360685	(mentha)
AIFM1	PPIA	20360685	(mentha)
AIFM1	AIFM1	20360685	(mentha)
AIFM1	TSC22D4	23305244	(mentha)
AIRE	AIRE	11533054	(mentha)
AJUBA	GRB2	15630473	(mentha)
AKAP8	AMY1	12414807	(mentha)
AKAP8	POU5F1	22083510|20362541	(mentha)
AKIP1	RAC1	17227220	(mentha)
AKT1	CLIP3	19139280	(mentha)
AKT1	SRC	19122674	(mentha)
AKT1	MAP3K5	11154276	(mentha)
AKT1	INSR	19122674	(mentha)
AKT1	PIK3R1	24567360	(mentha)
AKT1	HSP90AB1	10995457	(mentha)
AKT1	CTNND1	17993462	(mentha)
AKT1	AKT1	7891724	(mentha)
AKT1	PPARGC1A	17554339	(mentha)
AKT1	GAPDH	18388859	(mentha)
AKT1	HSP90AA1	18566586|10995457	(mentha)
AKT1S1	YWHAQ	20127721	(mentha)
AKT2	CLIP3	19139280	(mentha)
AKT2	CCDC88A	15753085	(mentha)
AKT2	GSK3A	20576936	(mentha)
AKT3	BTBD10	18160256	(mentha)
ALAS2	ALAS2	8688429	(mentha)
ALOX5	ALOX5AP	19075240	(mentha)
ALS2	DLG4	17093100	(mentha)
ALS2	GRIA2	17093100	(mentha)
AMFR	NGLY1	11562482|16709668	(mentha)
AMFR	VCP	16709668	(mentha)
AMFR	MGRN1	26743086	(mentha)
AMIGO1	KCNB1	22056818	(mentha)
AMPH	DNM1	23640057	(mentha)
AMPH	CAPN2	17541403	(mentha)
AMPH	AP2A2	7730311	(mentha)
AMPH	SH3GL2	12456676	(mentha)
AMPH	DNM2	23640057|9525921	(mentha)
AMPH	SH3GL3	12456676	(mentha)
ANAPC7	CDC20	22084091	(mentha)
ANAPC7	CDC27	10922056	(mentha)
ANG3	ANG3	23170778	(mentha)
ANK2	KIFAP3	22632975	(mentha)
ANK2	SPTAN1	22632975	(mentha)
ANK2	ACTG1	19109891	(mentha)
ANK2	KIF3A	22632975	(mentha)
ANKRD1	CAPN3	20860623	(mentha)
ANKRD37	UBC	21723927	(mentha)
ANKZF1	VCP	21070972	(mentha)
AP1M1	AP1G1	23415225	(mentha)
AP2A1	PIP5K1C	17290217	(mentha)
AP2B1	PIP5K1C	17290217	(mentha)
AP2B1	YWHAZ	16615898|16959763|19562802	(mentha)
AP2B1	EPS15	9182572	(mentha)
AP2B1	DLG4	21849563	(mentha)
AP2M1	CTLA4	9256472	(mentha)
AP2S1	AP2A2	12086608	(mentha)
AP3B1	KIF3A	19934039	(mentha)
APBA2	APP	11517249|20925061	(mentha)
APBB1	TP53	19796171	(mentha)
APBB1	APP	11517249	(mentha)
APBB1	ENAH	9407065	(mentha)
APBB1IP	VASP	15642358	(mentha)
APBB1IP	KRAS	15642358	(mentha)
APBB1IP	HRAS	15642358	(mentha)
APBB1IP	ENAH	15642358	(mentha)
APBB2	MAPK8	15629131	(mentha)
APBB2	APBB2	15629131	(mentha)
APBB2	APP	11517249	(mentha)
APBB3	APP	11517249	(mentha)
APC	DVL2	20224554	(mentha)
